,name,categories,genres,steamspy_tags,time_engaged_index,time_engaged_category,player_acclaim_index,player_acclaim_category,adopters_choice_index,adopters_choice_category,game_nexus_index,game_nexus_category
690,NOTE : a Composer and a Note,Single-player;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,0.03785714285714285,Average,0.5964285714285714,AboveAverage,0.12285714285714286,Average,0.24985714285714286,Average
691,Totem,Single-player;Steam Trading Cards,Action;Adventure;Indie;RPG,Action;Adventure;Indie,0.37173318585788245,Outstanding,0.560899591406519,Average,0.4069806724876001,Outstanding,0.44207243841816046,Outstanding
692,Mob Stadium,Single-player,Violent;Gore;Action;Adventure;Indie,Action;Adventure;Indie,0.03192307692307693,Mediocre,0.4896153846153846,Mediocre,0.11692307692307694,Mediocre,0.2106923076923077,Mediocre
693,Farstorm,Single-player;Steam Achievements,Action;Adventure;Casual;Indie;RPG;Strategy,Action;Adventure;Indie,0.03202702702702703,Mediocre,0.4914864864864865,Mediocre,0.11702702702702704,Mediocre,0.2113783783783784,Mediocre
694,Greedy Guns,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,0.04424050632911393,Good,0.7113291139240506,Excellent,0.12924050632911394,Good,0.2919873417721519,Good
695,Shattered God - Quest for the Divine Relic,Single-player;Steam Achievements;Steam Cloud,Action;Adventure;Indie;RPG,Action;Adventure;Indie,0.025370370370370373,Unacceptable,0.37166666666666665,Unacceptable,0.11037037037037038,Unacceptable,0.16744444444444445,Unacceptable
696,The Deadly Tower of Monsters,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,0.394311975134485,Masterpiece,0.8209295183318442,Masterpiece,0.33238113123506996,Outstanding,0.5107154661514617,Masterpiece
697,Untouchable,Single-player,Action;Adventure;Indie,Action;Adventure;Indie,0.03530303030303031,BelowAverage,0.5504545454545455,Average,0.12030303030303031,BelowAverage,0.233,BelowAverage
698,samurai_jazz,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,0.0374074074074074,Average,0.5883333333333334,AboveAverage,0.12240740740740741,Average,0.2468888888888889,Average
699,The Bad Gravedigger,Single-player;Steam Achievements,Action;Adventure;Indie,Action;Adventure;Indie,0.033947368421052636,BelowAverage,0.5260526315789474,BelowAverage,0.11894736842105265,BelowAverage,0.2240526315789474,BelowAverage
